,message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,Label,Score,Category,Note
0,6c235714-7714-49c1-b869-a82c19d29901,RED_ASIST1,okay this is medic,03:12:00,03:13:00,,,,,pre-game
1,2b7e9171-64e1-4022-af0a-bb294370e5a7,RED_ASIST1,oh you can go you go,03:15:00,03:16:00,,,,,pre-game
2,b4aaddad-7518-466f-80ff-d63d3f89f7c2,BLUE_ASIST1,right this is here can I go first so we have severe rooms and B5 F2 and A3 that is likely where critical victim should be regardless of that we need to come up with a strategy on how we're going to solve the problem,3:9,03:33:00,,,,,pre-game
3,ca13009f-3674-4583-ba71-afcb8c80f0bd,RED_ASIST1,so this make yeah,03:32:00,03:33:00,,,,,pre-game
4,9528d2d4-b134-4b82-9c96-b47e1106fa21,GREEN_ASIST1,transporter has question but does anyone have any information regarding Security Training Facility meeting or management meeting locations,03:35:00,03:41:00,,,,,pre-game
5,2188b42e-6104-4ebe-9443-d015410b121e,RED_ASIST1,this is medic I do B5 the security B8 is project and C2 as management and,03:39:00,03:46:00,,,,,pre-game
6,2ae86066-53f8-4aeb-a102-5dcbd36584fb,GREEN_ASIST1,those three locations have two or more attendees,03:50:00,03:51:00,,,,,pre-game
7,104cb113-2da3-4684-b8b9-91354ee9e1f2,RED_ASIST1,okay and then so this is medic I feel like if we just go like we did last time,03:50:00,03:55:00,,,,,pre-game
8,3783f618-87b7-46b5-8d84-73223237e7fc,RED_ASIST1,right is good and then transport it when you go into the rooms instead of just looking at the thing open the door C if there's a rubble and then market so he can see it if you see a victim in there that you can easily reach try to see if you can grab them and just place them in the hallways if you can and then we that can make the whole thing faster so if you see a victim in a room C thinking just bring it out in the hallway and I can do it there,4:4,04:29:00,,,,,pre-game
9,cd6fa679-266b-49d5-a312-cc08327549c3,GREEN_ASIST1,transporter acknowledged,04:30:00,04:31:00,,,,,pre-game
10,b607c597-e11d-44c2-b0e3-277ff4186594,BLUE_ASIST1,yeah and and this is this is engineer if you guys c a rubble just market and move along that way we can speed things up I'll because engineer the character is very slow it takes forever to get from one point to another we can get more people out that way,04:30:00,04:46:00,,,,,pre-game
11,656484dd-df64-4f09-9619-92e38450a68f,GREEN_ASIST1,transporter acknowledged,04:49:00,04:50:00,,,,,pre-game
12,428a0ba1-460d-4d94-b281-8844a0430140,BLUE_ASIST1,okay that's all for my and I think we can do this guy's,04:55:00,04:57:00,,,,,pre-game
13,bbdc65af-28cf-4d01-9926-12d4619c920d,RED_ASIST1,so I think this starting with the A1 is again and see if you can bring people to always if you can and try to mark for rubble and stuff,04:58:00,5:4,,,,,pre-game
14,28f0fe63-f0ee-4939-b34f-21503c646cb7,GREEN_ASIST1,transporter here storage lunch and zoom2 and are empty,5:5,05:10:00,,,,,pre-game
15,eb898c56-72be-43be-b26c-559e39e1d3bf,GREEN_ASIST1,says those events canceled,05:12:00,05:13:00,,,,,pre-game
16,f37530a3-b762-44b8-b408-cc7f4190f53b,RED_ASIST1,engineer make sure you're on the blue,05:11:00,05:14:00,,,,,pre-game
17,b6452bf1-6b72-426f-b61a-4c698a3263a2,RED_ASIST1,we're supposed to stay on the blue tiles yeah okay,05:16:00,05:19:00,,,,,pre-game
18,61a00a50-0525-4147-ad72-ea4d5ea7ff4b,BLUE_ASIST1,is it as a string to walk faster,05:20:00,05:21:00,,,,,pre-game
19,ba3c65b9-e3e9-409d-bf71-8cd15e3f72cb,GREEN_ASIST1,transporter so we're going from left to right again we're going from critical locations all right,05:26:00,05:31:00,,,,,pre-game
20,75ece9cc-3972-4c3d-997d-0dfca4968c5b,RED_ASIST1,yeah same one a A1 through for and Etc,05:29:00,05:33:00,,,,,pre-game
21,263f047b-f1bb-4a0b-b323-20880b40b464,BLUE_ASIST1,is it in your first fighting transporter you can do Recon faster than any of us,05:34:00,05:38:00,,,,,pre-game
22,09f8b042-23fa-4d94-a9f1-24c7d79e1e99,GREEN_ASIST1,transporter acknowledged,05:39:00,05:40:00,,,,,pre-game
23,bd700054-6861-4695-af9c-94a03ea42bcc,GREEN_ASIST1,nope,05:45:00,05:45:00,,,,,pre-game
24,2541b373-1f42-41b0-8eaf-a995938fd204,BLUE_ASIST1,all right A3 is a tech room,05:43:00,05:47:00,,1a,,assert,
25,077163b0-d496-41ca-b2d7-320a5fa7bf1d,GREEN_ASIST1,it's regular victims that hallway,6:3,6:4,,2a,,assert,
26,f00a1f96-3714-49ba-8b27-46cd19893f24,RED_ASIST1,i c,6:5,6:5,,1b.2b,1.0,acknowledge.acknowledge,
27,4a5e22a6-006a-495f-a436-aa89474fa9d2,GREEN_ASIST1,critical victim in that room engineer,6:6,6:8,,3a,,assert,
28,c11cf130-15d1-479d-88d2-e496204ebdda,GREEN_ASIST1,transporter says,06:10:00,06:11:00,,3a+,,assert,
29,3f5e94b4-ee2f-49c5-95c6-a550ee71d486,BLUE_ASIST1,A3 yes there's a there's a Kim's,6:9,06:12:00,,3b,3.0,acknowledge,
30,c9c6a3d3-f6a3-449c-862d-56e92a984923,GREEN_ASIST1,rubble and wave exit A2,06:18:00,06:23:00,,4a,,assert,
31,8db05f51-818e-4f15-8b82-a633eae91ca0,GREEN_ASIST1,transporter taking A2 location,06:26:00,06:28:00,,4a+,,assert,
32,f63bc38f-6229-470c-8572-3855566c33e3,RED_ASIST1,this is medic was there critical victim in here or,06:32:00,06:34:00,,5a,,info-request,
33,0fcc1e17-0ce6-4e13-a846-f5bd6e265142,RED_ASIST1,no I C engineer can you please come back this medic,06:36:00,06:38:00,,6a,,action-directive,
34,db0cddbb-9779-4c3e-9dc3-daeb677ca0cf,BLUE_ASIST1,I die with you,06:40:00,06:40:00,,6b,1.0,accept,
35,1c5c0f95-d276-469a-be8a-740339939953,RED_ASIST1,all right you may leave,06:49:00,06:50:00,,6c,,acknowledge,
36,8aa23f32-2a5b-4170-9daf-b6805ab42471,RED_ASIST1,help me,06:51:00,06:52:00,,7a,,action-directive,
37,e45efacb-c626-457e-9d13-1288f4d9ff06,BLUE_ASIST1,I do not see any other victims in A3 this is engineer,06:59:00,7:2,,8a,,assert,
38,15baf381-c12b-4aa1-bb2c-696ccb06f7f9,RED_ASIST1,Alice medic did you see anyone in A4 or like there's Rubble A2 A4 in the way,07:19:00,07:25:00,,9a,,info-request,
39,c9211cbf-953a-42e7-9254-d90da1a8aa56,BLUE_ASIST1,red just marking bad,07:26:00,07:27:00,,,,,
40,4d8f8a2f-c4b6-4c9e-9604-355b3f04c157,RED_ASIST1,it's the top left yeah,07:27:00,07:28:00,,,,,
41,95d63243-36cb-4fd1-9a60-b00d1263ed18,RED_ASIST1,B7 has a ton of rubble as well,07:31:00,07:34:00,,10a,,assert,
42,ed2f55a0-a875-4462-8b34-e3177c7180a9,RED_ASIST1,it doesn't look like anyone's in here,07:49:00,07:50:00,,10a+,,assert,
43,34e35d24-9b36-4b61-8e9d-c3062b75469d,RED_ASIST1,can you come to B7 engineer right here on the left and open this hallway,07:56:00,07:59:00,,11a,,action-directive,
44,de9df73d-5ce8-4880-b396-48cb11f2c81c,RED_ASIST1,looks like there's people there try not to do those Corner ones as well because a lot of times you can't enter through it thank you,8:5,08:12:00,,12a,,assert,
45,c8f439d7-d02a-4cd9-bccc-59317219209d,BLUE_ASIST1,can you repeat what you said,08:12:00,08:13:00,,11b.12b,1.0,accept.acknowledge,
46,6fa53962-8144-4978-926a-a112240bf708,BLUE_ASIST1,okay,08:19:00,08:19:00,,11b+.12b+,1.0,accept.acknowledge,
47,5494ac06-85ae-4592-ae79-8e8de912c82b,RED_ASIST1,there's like Corners blocks and you won't be able to enter through them unless there's like area if that makes sense,08:15:00,08:20:00,,12c,,acknowledge,
48,9f074d9f-bc9a-4cfe-bc33-a3ee370f8794,RED_ASIST1,this is medic can you come to C8 engineer and checking for the rubble in that room,08:50:00,08:55:00,,13a,,action-directive,
49,506805ac-a69a-43e2-92e0-21176843e55b,RED_ASIST1,I just mark it on the map,08:57:00,08:58:00,,13a+,,action-directive,
50,727656c3-be76-4e9f-b0fa-9091868fea2a,BLUE_ASIST1,all right thank you,08:58:00,08:59:00,,13b,1.0,accept,
51,21481352-baf7-47f5-b289-afc5742f7e78,RED_ASIST1,once you're done with that can you come to C7 and help me with a two-person patient,9:1,9:6,,14a,,action-directive,
52,46dc4f3e-5292-47e7-8273-a80e00256505,BLUE_ASIST1,an engineer acknowledge you can just leave critical patient then we can go ahead,9:7,09:11:00,,14b,2.0,accept,
53,73b08cbc-53a8-4499-aec2-a2f41d2069f3,BLUE_ASIST1,sorry,09:16:00,09:16:00,,,,,
54,c19581e2-bb67-40c1-9223-693951cf7ff5,RED_ASIST1,I must have blocked in here as well and see you then I'm also blocked in the room,09:14:00,09:19:00,,15a,,assert,
55,366f1c3c-fb22-44d7-a865-b1511232c4e0,BLUE_ASIST1,okay alright C sounds like red room I'll be right there,09:19:00,09:21:00,,15b,3.0,accept,
56,7416b04a-a08a-46e6-aae9-d4ca6f478dd9,GREEN_ASIST1,they picked up transporter move in,09:23:00,09:25:00,,16a,,assert,
57,6f4ae84f-b212-48df-ab24-ea16b2c6a7c7,RED_ASIST1,all right you're good thank you this is Meg,09:35:00,09:36:00,,16b,1.0,acknowledge,
58,8f0ce6ca-878b-4b7a-9e66-446ef7c49570,BLUE_ASIST1,I understand and a half minutes left,09:47:00,09:48:00,,17a,,assert,
59,4431fd3e-41c7-4ac9-8289-20029414b950,GREEN_ASIST1,acknowledge transporter,09:53:00,09:54:00,,17b,1.0,acknowledge,
60,d24a8794-a7af-4f46-b8fe-2507d3190383,BLUE_ASIST1,yep got you,10:11:00,10:12:00,,17c,,acknowledge,
61,92a6e70f-ba22-4a49-8d66-47d08132b879,RED_ASIST1,this is medic and he comes here yeah and there's also one wall in here and broken as well,10:10:00,10:15:00,,18a,,assert,
62,4cf990d9-adf8-4658-8438-1e59b39b365a,RED_ASIST1,all right here yeah,10:19:00,10:19:00,,,,,
63,885af668-2d82-415e-a816-04e8a092f70d,GREEN_ASIST1,transport is experiencing random lag issues apologies,10:15:00,10:18:00,,19a,,assert,
64,219aec36-f0d8-4147-b022-d0ebde23c7ee,RED_ASIST1,I need okay,10:23:00,10:24:00,,,,,
65,8c0210e8-6703-48f0-8b02-073aa039c0c5,RED_ASIST1,I guess I forgot to clear that thank you,10:55:00,10:56:00,,,,,
66,5ddc7a30-9264-42b0-884d-161e4e3400a0,RED_ASIST1,I think we're done with all the C buildings,10:58:00,10:59:00,,20a,,assert,
67,b06a3979-eea2-4966-9df0-7bd4ce5e7541,BLUE_ASIST1,this is business engineer did you guys check out the bees because B5 was supposed to may have had critical victims let's get even,10:57:00,11:8,,21a,,info-request,
68,8a40dabc-6906-428d-89f8-0a00ad263923,RED_ASIST1,I'm not sure could someone come to D this is medic,11:8,11:10:00,,21b.22a,2.0,info-provide.action-directive,
69,19a1a0a1-3a46-4c0f-bd31-1fb90fa9cf56,BLUE_ASIST1,I will come to the transport,11:13:00,11:14:00,,22b,2.0,accept,
70,f17e7286-f43d-434d-b5be-5bed7fb77384,GREEN_ASIST1,transporter B4 critical victim,11:13:00,11:14:00,,23a,,assert,
71,333808b9-7e07-4e45-8064-50cc2b097036,GREEN_ASIST1,transporter we did not clear the,11:18:00,11:19:00,,24a,,assert,
72,e0e8a955-666f-4ee9-9785-75e8443b664b,GREEN_ASIST1,B areas of like B3 before B5,11:21:00,11:23:00,,24a+,,assert,
73,5beebb77-a16a-47db-91e6-a94254a5d2ca,RED_ASIST1,we'll be coming next this medic,11:24:00,11:26:00,,23b,2.0,accept,
74,ac6d0eab-8d90-41ca-8503-59109fb91b3c,BLUE_ASIST1,medic this is engineer red E2 need me,11:25:00,11:29:00,,25a,,assert,
