,message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,Label,Score,Category,Note
0,409af7e6-0d70-4ead-a614-ed40c92402cf,BLUE_ASIST2,I was thinking we may want to split up and just sort of identify,01:50:00,01:53:00,,,,,pre-game
1,b7fce21c-3616-4c45-a3b0-351c113aa43f,RED_ASIST_2,well,01:59:00,01:59:00,,,,,pre-game
2,1fe2c90f-6516-4b7e-b143-bd6da353b96f,GREEN_ASIST2,okay,02:10:00,02:10:00,,,,,pre-game
3,2449c84d-5c7d-4fd7-b93c-5710f89023e8,BLUE_ASIST2,specific room so attentively probably going for more critical victims on my screen I can see the rooms with no damage and severe moderate and mild and it says note on that critical damage or critical victims are most likely to be in areas with the most severe damage so I think that's an engineer by the way I forgot to press with that I think that we should probably Target those rooms first so we're going to need at least two people one of which being myself to clear the rubble and then,01:55:00,02:23:00,,,,,pre-game
4,c1195680-9d0c-411d-8798-d7e1d904b202,RED_ASIST_2,medic,02:21:00,02:21:00,,,,,pre-game
5,2577abaa-25a2-411c-be76-4f4bf7dd8b09,GREEN_ASIST2,so we're going to have 15 we're going to have 15 minutes total right once the timer is done so I'd say let's take no more than five minutes to identify victims from all the rooms I have the ability to look at the tiles in each of the rooms and I'll go by as many as I can and mark them with no victim so that we don't save time going and we can save time going into rooms where there's no victims,02:23:00,02:46:00,,,,,pre-game
6,a0a525d5-d8e8-4efa-b610-db2ac85bbefe,GREEN_ASIST2,then yeah let's try and prioritize,02:47:00,02:49:00,,,,,pre-game
7,ac5f8e01-2f9d-4ed5-b131-a7a70b59ad66,GREEN_ASIST2,the critical victims first and by no later than maybe 10 or 11 minutes we should be,02:52:00,02:58:00,,,,,pre-game
8,5e2e884d-1b82-496f-bfd0-6e4142574d16,GREEN_ASIST2,working with the medic to create treat the critical victims and transport them,3:1,3:4,,,,,pre-game
9,01d110e4-380d-4f39-95b1-0995cb1fcc61,GREEN_ASIST2,okay so if we do c victim so we can,03:15:00,03:17:00,,,,,pre-game
10,ad4125c7-ea9f-4380-b7f0-66eb53ab9d21,BLUE_ASIST2,you should probably at the very least pulling out to the hallway,03:19:00,03:21:00,,,,,pre-game
11,6f22d7a1-7874-4f2d-9e33-0938d80f7bbf,GREEN_ASIST2,okay,03:21:00,03:21:00,,,,,pre-game
12,17960f05-f57e-4454-bb1d-f5a75c29201d,GREEN_ASIST2,that'll make it a lot easier,03:23:00,03:23:00,,,,,pre-game
13,f782d4be-1b78-4d8d-aaab-deac8d038657,RED_ASIST_2,you guys can also move the victims without treating them is that correct I can treat them in a central location,3:7,03:15:00,,,,,pre-game
14,12781f9f-5e04-4859-9e87-748a48253d82,BLUE_ASIST2,so what,03:29:00,03:30:00,,,,,pre-game
15,83547f26-2765-4dc1-8ed8-8b1e0f58330b,GREEN_ASIST2,and I'd say,03:31:00,03:31:00,,,,,pre-game
16,830b9e71-befe-431f-a307-81ad3b8eba18,BLUE_ASIST2,as I bled engineer outside,03:32:00,03:33:00,,,,,pre-game
17,1b10f950-999f-400e-b061-b97467c00a73,GREEN_ASIST2,engineer if you could identify the threat rooms I'll try not to go into those so we you know if we get blocked,03:34:00,03:43:00,,,,,pre-game
18,db4665dd-eb8c-4599-9002-8c13240ac25b,BLUE_ASIST2,I have all the hall map,03:47:00,03:49:00,,,,,pre-game
19,aaae8cdf-c6f8-47a3-9080-8a0e4f8b2003,GREEN_ASIST2,okay which okay great,03:48:00,03:50:00,,,,,pre-game
20,3636fd78-e96f-4adc-8ce8-5f7de2147982,GREEN_ASIST2,have we got,03:53:00,03:53:00,,,,,pre-game
21,6f5d2e27-6f34-446b-9fa1-62fcd60f3e98,BLUE_ASIST2,there's seven of them so I don't know if you want me to just list them out or just kind of Target those so I can,03:54:00,03:58:00,,,,,pre-game
22,aba46ef9-e9df-4cdc-ac7f-53521e7241cf,BLUE_ASIST2,marker on them first door,4:3,4:4,,,,,pre-game
23,9d384997-083c-43ee-9675-3ec416dc9430,GREEN_ASIST2,yeah let's put a marker on him first,4:4,4:6,,,,,pre-game
24,9dce3267-8e31-4c92-bc4b-6438f2db40d1,BLUE_ASIST2,okay I don't know if just would want to go after the most severe damage dreams first,4:7,04:13:00,,,,,pre-game
25,78efbd2a-7dec-49ca-9c66-be5242824bcd,RED_ASIST_2,I'll stay with you,04:16:00,04:16:00,,,,,pre-game
26,a63301aa-75dd-44fb-8d3f-25542a8dfdd4,GREEN_ASIST2,yes let's,04:15:00,04:16:00,,,,,pre-game
27,0003ed0b-67ac-49b4-818e-807eeed01d08,GREEN_ASIST2,oh engineer this is transporter I,04:19:00,04:20:00,,,,,pre-game
28,9a359b1e-3646-4ccd-8b14-50f4f037d00a,BLUE_ASIST2,okay,04:26:00,04:26:00,,,,,pre-game
29,3e58638e-f064-4fe6-b285-6df395b70826,GREEN_ASIST2,if you could please identify all the threat rooms first and I'll go my for the first five minutes and then we'll,04:23:00,04:29:00,,,,,pre-game
30,a518c7e6-6835-42c1-aeb0-7973d8939751,GREEN_ASIST2,Jordan 8 meeting the critical victims,04:32:00,04:34:00,,,,,pre-game
31,cf46f707-623e-41c3-ad2b-9b5306e7b197,RED_ASIST_2,I'm trapped here,04:35:00,04:35:00,,1a,,assert,
32,a3aafd25-9a3f-4532-8c50-4e79b0c74e37,GREEN_ASIST2,how are you,04:38:00,04:38:00,,1b-1,2.0,info-request,
33,ab5b4eb5-19f8-497d-b947-9be3948da3a8,BLUE_ASIST2,I wish you location,04:38:00,04:38:00,,1b-2,2.0,accept,
34,152a76ef-f578-4149-96b4-f20a9159278f,BLUE_ASIST2,on my way,04:41:00,04:41:00,,1b-2+,2.0,accept,
35,67ea050a-8197-4ce7-a5b8-c70fa462000d,RED_ASIST_2,SOS,04:36:00,04:36:00,,,,,
36,be698619-ef5d-4cb8-9fd6-b41d7b6e95d9,RED_ASIST_2,he's there for a second there's a critical,04:56:00,04:57:00,,2a,,assert,
37,a38624e7-3e5e-4b84-8b37-9bba9ebc6b51,GREEN_ASIST2,there's fire detected near A3,04:59:00,5:2,,3a,,assert,
38,d68c59c8-1089-4edb-93b9-e9c402db62ee,RED_ASIST_2,there we go,5:1,5:1,,,,,
39,720e1068-1fad-4893-b14d-28dea9ca64bf,GREEN_ASIST2,B2 has a significant amount of rubble to be removed,05:28:00,05:32:00,,4a,,assert,
40,541297dc-2c33-450c-a632-3addc2a7dec3,BLUE_ASIST2,yeah A2 yeah that's one of the ones that are marked,05:28:00,05:33:00,,5a,,assert,
